NBody2 100 body 10 iterazioni 8 processi
Body 72: x-> -0.057107, y-> 0.297771, z-> 0.035682, vx-> -4.926085, vy-> -6.229154, vz-> 9.683093
Body 73: x-> -0.257803, y-> 0.068226, z-> 0.298693, vx-> 9.118495, vy-> -3.103287, vz-> -7.457165
Body 74: x-> -0.334626, y-> -0.104112, z-> -0.439036, vx-> 0.913058, vy-> 0.381458, vz-> 2.534651
Body 75: x-> 1.047195, y-> -1.196496, z-> 1.098491, vx-> 47.514671, vy-> -21.383949, vz-> 64.204750
Body 76: x-> 0.037425, y-> 0.142268, z-> 0.190339, vx-> 7.759128, vy-> -3.638861, vz-> 0.232632
Body 77: x-> 0.088708, y-> -0.023607, z-> 0.468108, vx-> -4.326983, vy-> 8.908341, vz-> 0.357407
Body 78: x-> -1.835370, y-> 1.552724, z-> -3.112488, vx-> -22.463005, vy-> 13.767735, vz-> -34.560219
Body 79: x-> 0.160306, y-> 0.929798, z-> -1.204713, vx-> -5.215022, vy-> 6.184320, vz-> -4.739974
Body 80: x-> -0.352751, y-> 0.178150, z-> 0.444962, vx-> 3.896471, vy-> 1.728465, vz-> 1.397817
Body 81: x-> 0.156839, y-> -0.547905, z-> -0.067598, vx-> 9.320706, vy-> 1.040807, vz-> -6.315801
Body 82: x-> 0.075634, y-> 0.476496, z-> 0.321230, vx-> -0.635559, vy-> -9.007070, vz-> -0.505208
Body 83: x-> -0.290302, y-> -0.107032, z-> 0.425053, vx-> 5.331774, vy-> 0.695300, vz-> -3.158713
Body 84: x-> -0.175789, y-> 0.284928, z-> 0.514799, vx-> 0.917819, vy-> -3.197034, vz-> -5.068489
Body 85: x-> -0.189770, y-> 0.521464, z-> 0.200166, vx-> 6.019383, vy-> -6.923137, vz-> 3.460513
Body 86: x-> 0.566191, y-> 0.594167, z-> 0.703746, vx-> -5.615358, vy-> -1.691443, vz-> -0.994866
Body 87: x-> 0.598045, y-> -0.205922, z-> 0.631890, vx-> -5.383053, vy-> 2.539236, vz-> -2.802758
Body 88: x-> 0.366991, y-> 0.399231, z-> -0.532397, vx-> -2.831735, vy-> -3.767249, vz-> -1.493636
Body 89: x-> 0.651838, y-> 0.564074, z-> 0.681573, vx-> 0.652537, vy-> -1.325502, vz-> 1.153750
Body 90: x-> 1.998323, y-> -1.068984, z-> 3.281830, vx-> 19.411753, vy-> -14.965930, vz-> 35.264069
Body 91: x-> -0.032678, y-> -0.346103, z-> 0.328555, vx-> -8.190651, vy-> -11.366377, vz-> -4.816002
Body 92: x-> -0.078988, y-> -0.525613, z-> 0.435537, vx-> 0.356098, vy-> 6.812930, vz-> -4.114889
Body 93: x-> -0.499107, y-> -0.186853, z-> -0.398328, vx-> 4.301896, vy-> 0.980465, vz-> 1.613459
Body 94: x-> -0.457576, y-> 0.573258, z-> 0.235624, vx-> -6.117192, vy-> -2.257909, vz-> -1.026369
Body 95: x-> -0.635001, y-> -0.649089, z-> 0.175366, vx-> 4.505583, vy-> 4.273818, vz-> -1.157799
Body 96: x-> 0.057546, y-> 0.480066, z-> 0.249387, vx-> -6.958580, vy-> -6.864213, vz-> -4.826564
Body 97: x-> 0.046985, y-> 0.327501, z-> 0.163779, vx-> -13.662399, vy-> -9.245310, vz-> -4.570773
Body 98: x-> -0.451637, y-> 0.090054, z-> 0.472169, vx-> 2.880350, vy-> 2.154136, vz-> -7.701226
Body 99: x-> -0.353000, y-> 0.036656, z-> 0.729065, vx-> 6.296632, vy-> 0.218070, vz-> -1.787016
